seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,864,38,1,0,0,ebpf
2,ok,740,38,2,0,0,ebpf
3,ok,744,38,3,0,0,ebpf
4,ok,663,38,4,0,0,ebpf
5,ok,404,38,5,0,0,ebpf
6,ok,544,38,6,0,0,ebpf
7,ok,396,38,7,0,0,ebpf
8,ok,509,38,8,0,0,ebpf
9,ok,293,38,9,0,0,ebpf
10,ok,280,39,10,0,0,ebpf
11,ok,214,39,11,0,0,ebpf
12,ok,208,39,12,0,0,ebpf
13,ok,233,39,13,0,0,ebpf
14,ok,231,39,14,0,0,ebpf
15,ok,365,39,15,0,0,ebpf
16,ok,297,39,16,0,0,ebpf
17,ok,215,39,17,0,0,ebpf
18,ok,224,39,18,0,0,ebpf
19,ok,190,39,19,0,0,ebpf
20,ok,203,39,20,0,0,ebpf
21,ok,252,39,21,0,0,ebpf
22,ok,208,39,22,0,0,ebpf
23,ok,234,39,23,0,0,ebpf
24,ok,190,39,24,0,0,ebpf
25,ok,347,39,25,0,0,ebpf
26,ok,203,39,26,0,0,ebpf
27,ok,186,39,27,0,0,ebpf
28,ok,177,39,28,0,0,ebpf
29,ok,201,39,29,0,0,ebpf
30,ok,161,39,30,0,0,ebpf
31,ok,188,39,31,0,0,ebpf
32,ok,182,39,32,0,0,ebpf
33,ok,174,39,33,0,0,ebpf
34,ok,169,39,34,0,0,ebpf
35,ok,146,39,35,0,0,ebpf
36,ok,154,39,36,0,0,ebpf
37,ok,144,39,37,0,0,ebpf
38,ok,152,39,38,0,0,ebpf
39,ok,146,39,39,0,0,ebpf
40,ok,221,39,40,0,0,ebpf
41,ok,282,39,41,0,0,ebpf
42,ok,304,39,42,0,0,ebpf
43,ok,301,39,43,0,0,ebpf
44,ok,294,39,44,0,0,ebpf
45,ok,240,39,45,0,0,ebpf
46,ok,169,39,46,0,0,ebpf
47,ok,165,39,47,0,0,ebpf
48,ok,174,39,48,0,0,ebpf
49,ok,220,39,49,0,0,ebpf
50,ok,148,39,50,0,0,ebpf
