seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,1136,38,1,0,0,userspace
2,ok,641,38,2,0,0,userspace
3,ok,555,38,3,0,0,userspace
4,ok,594,38,4,0,0,userspace
5,ok,372,38,5,0,0,userspace
6,ok,380,38,6,0,0,userspace
7,ok,292,38,7,0,0,userspace
8,ok,240,38,8,0,0,userspace
9,ok,298,38,9,0,0,userspace
10,ok,258,39,10,0,0,userspace
11,ok,221,39,11,0,0,userspace
12,ok,330,39,12,0,0,userspace
13,ok,358,39,13,0,0,userspace
14,ok,312,39,14,0,0,userspace
15,ok,308,39,15,0,0,userspace
16,ok,261,39,16,0,0,userspace
17,ok,243,39,17,0,0,userspace
18,ok,223,39,18,0,0,userspace
19,ok,273,39,19,0,0,userspace
20,ok,245,39,20,0,0,userspace
21,ok,212,39,21,0,0,userspace
22,ok,220,39,22,0,0,userspace
23,ok,329,39,23,0,0,userspace
24,ok,251,39,24,0,0,userspace
25,ok,275,39,25,0,0,userspace
26,ok,433,39,26,0,0,userspace
27,ok,376,39,27,0,0,userspace
28,ok,432,39,28,0,0,userspace
29,ok,456,39,29,0,0,userspace
30,ok,406,39,30,0,0,userspace
31,ok,468,39,31,0,0,userspace
32,ok,361,39,32,0,0,userspace
33,ok,365,39,33,0,0,userspace
34,ok,413,39,34,0,0,userspace
35,ok,436,39,35,0,0,userspace
36,ok,377,39,36,0,0,userspace
37,ok,270,39,37,0,0,userspace
38,ok,258,39,38,0,0,userspace
39,ok,244,39,39,0,0,userspace
40,ok,184,39,40,0,0,userspace
41,ok,433,39,41,0,0,userspace
42,ok,516,39,42,0,0,userspace
43,ok,457,39,43,0,0,userspace
44,ok,392,39,44,0,0,userspace
45,ok,351,39,45,0,0,userspace
46,ok,358,39,46,0,0,userspace
47,ok,357,39,47,0,0,userspace
48,ok,342,39,48,0,0,userspace
49,ok,566,39,49,0,0,userspace
50,ok,525,39,50,0,0,userspace
51,ok,564,39,51,0,0,userspace
52,ok,603,39,52,0,0,userspace
53,ok,536,39,53,0,0,userspace
54,ok,461,39,54,0,0,userspace
55,ok,437,39,55,0,0,userspace
