seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,1164,38,1,0,0,userspace
2,ok,825,38,2,0,0,userspace
3,ok,711,38,3,0,0,userspace
4,ok,691,38,4,0,0,userspace
5,ok,726,38,5,0,0,userspace
6,ok,626,38,6,0,0,userspace
7,ok,659,38,7,0,0,userspace
8,ok,676,38,8,0,0,userspace
9,ok,794,38,9,0,0,userspace
10,ok,576,39,10,0,0,userspace
11,ok,755,39,11,0,0,userspace
12,ok,611,39,12,0,0,userspace
13,ok,614,39,13,0,0,userspace
14,ok,581,39,14,0,0,userspace
15,ok,459,39,15,0,0,userspace
16,ok,553,39,16,0,0,userspace
17,ok,613,39,17,0,0,userspace
18,ok,572,39,18,0,0,userspace
19,ok,433,39,19,0,0,userspace
20,ok,493,39,20,0,0,userspace
21,ok,423,39,21,0,0,userspace
22,ok,399,39,22,0,0,userspace
23,ok,352,39,23,0,0,userspace
24,ok,334,39,24,0,0,userspace
25,ok,203,39,25,0,0,userspace
26,ok,236,39,26,0,0,userspace
27,ok,274,39,27,0,0,userspace
28,ok,196,39,28,0,0,userspace
29,ok,202,39,29,0,0,userspace
30,ok,204,39,30,0,0,userspace
31,ok,185,39,31,0,0,userspace
32,ok,165,39,32,0,0,userspace
33,ok,246,39,33,0,0,userspace
34,ok,166,39,34,0,0,userspace
35,ok,195,39,35,0,0,userspace
36,ok,239,39,36,0,0,userspace
37,ok,201,39,37,0,0,userspace
38,ok,228,39,38,0,0,userspace
39,ok,202,39,39,0,0,userspace
40,ok,238,39,40,0,0,userspace
41,ok,164,39,41,0,0,userspace
42,ok,197,39,42,0,0,userspace
43,ok,172,39,43,0,0,userspace
44,ok,193,39,44,0,0,userspace
45,ok,241,39,45,0,0,userspace
46,ok,199,39,46,0,0,userspace
47,ok,201,39,47,0,0,userspace
48,ok,168,39,48,0,0,userspace
49,ok,161,39,49,0,0,userspace
50,ok,262,39,50,0,0,userspace
