seq,status,latency_us,payload_bytes,leader_index,leader_retries,conflict_hints,quorum_source
1,ok,786,38,1,0,0,ebpf
2,ok,665,38,2,0,0,ebpf
3,ok,432,38,3,0,0,ebpf
4,ok,371,38,4,0,0,ebpf
5,ok,213,38,5,0,0,ebpf
6,error:TimeoutError,2001610,38,0,0,0,userspace
7,nack,560,38,0,0,0,userspace
8,error:TimeoutError,2001873,38,0,0,0,userspace
9,nack,1200,38,0,0,0,userspace
10,error:TimeoutError,2001631,39,0,0,0,userspace
11,nack,663,39,0,0,0,userspace
12,error:TimeoutError,2001318,39,0,0,0,userspace
13,nack,690,39,0,0,0,userspace
14,error:TimeoutError,2001601,39,0,0,0,userspace
15,nack,447,39,0,0,0,userspace
16,error:TimeoutError,2001810,39,0,0,0,userspace
17,nack,1189,39,0,0,0,userspace
18,error:TimeoutError,2001980,39,0,0,0,userspace
19,nack,447,39,0,0,0,userspace
20,error:TimeoutError,2001514,39,0,0,0,userspace
21,nack,434,39,0,0,0,userspace
22,error:TimeoutError,2001573,39,0,0,0,userspace
23,nack,597,39,0,0,0,userspace
24,error:TimeoutError,2001407,39,0,0,0,userspace
25,nack,1204,39,0,0,0,userspace
26,nack,2001270,39,0,0,0,userspace
27,error:TimeoutError,2001276,39,0,0,0,userspace
28,nack,453,39,0,0,0,userspace
29,error:TimeoutError,2001487,39,0,0,0,userspace
30,nack,443,39,0,0,0,userspace
31,error:TimeoutError,2001534,39,0,0,0,userspace
32,nack,389,39,0,0,0,userspace
33,error:TimeoutError,2001573,39,0,0,0,userspace
34,nack,442,39,0,0,0,userspace
35,error:TimeoutError,2001641,39,0,0,0,userspace
36,nack,1526,39,0,0,0,userspace
37,error:TimeoutError,2001229,39,0,0,0,userspace
38,nack,459,39,0,0,0,userspace
39,error:TimeoutError,2001537,39,0,0,0,userspace
40,nack,400,39,0,0,0,userspace
41,nack,2001515,39,0,0,0,userspace
42,error:TimeoutError,2002004,39,0,0,0,userspace
43,nack,424,39,0,0,0,userspace
44,error:TimeoutError,2001558,39,0,0,0,userspace
45,nack,984,39,0,0,0,userspace
46,error:TimeoutError,2002169,39,0,0,0,userspace
47,nack,1240,39,0,0,0,userspace
48,error:TimeoutError,2001439,39,0,0,0,userspace
49,nack,1275,39,0,0,0,userspace
50,error:TimeoutError,2001555,39,0,0,0,userspace
51,nack,1028,39,0,0,0,userspace
52,nack,2001588,39,0,0,0,userspace
53,error:TimeoutError,2001378,39,0,0,0,userspace
54,nack,1181,39,0,0,0,userspace
55,error:TimeoutError,2001592,39,0,0,0,userspace
56,nack,264,39,0,0,0,userspace
57,error:TimeoutError,2001713,39,0,0,0,userspace
58,nack,1224,39,0,0,0,userspace
59,error:TimeoutError,2001452,39,0,0,0,userspace
60,nack,432,39,0,0,0,userspace
61,error:TimeoutError,2001503,39,0,0,0,userspace
62,nack,421,39,0,0,0,userspace
63,error:TimeoutError,2000180,39,0,0,0,userspace
64,nack,1129,39,0,0,0,userspace
65,error:TimeoutError,2002216,39,0,0,0,userspace
66,nack,1237,39,0,0,0,userspace
67,error:TimeoutError,2001634,39,0,0,0,userspace
68,nack,1185,39,0,0,0,userspace
69,error:TimeoutError,2001585,39,0,0,0,userspace
70,nack,418,39,0,0,0,userspace
71,error:TimeoutError,2001768,39,0,0,0,userspace
72,nack,1214,39,0,0,0,userspace
73,error:TimeoutError,2002180,39,0,0,0,userspace
74,nack,1183,39,0,0,0,userspace
75,error:TimeoutError,2002051,39,0,0,0,userspace
76,nack,581,39,0,0,0,userspace
77,nack,2001752,39,0,0,0,userspace
78,error:TimeoutError,2002216,39,0,0,0,userspace
79,nack,1332,39,0,0,0,userspace
80,error:TimeoutError,2001801,39,0,0,0,userspace
81,nack,435,39,0,0,0,userspace
82,nack,2001344,39,0,0,0,userspace
83,error:TimeoutError,2001231,39,0,0,0,userspace
84,nack,1012,39,0,0,0,userspace
85,error:TimeoutError,2001789,39,0,0,0,userspace
86,nack,409,39,0,0,0,userspace
87,error:TimeoutError,2001583,39,0,0,0,userspace
88,nack,339,39,0,0,0,userspace
89,error:TimeoutError,2001624,39,0,0,0,userspace
90,nack,347,39,0,0,0,userspace
91,error:TimeoutError,2001626,39,0,0,0,userspace
92,nack,412,39,0,0,0,userspace
93,error:TimeoutError,2001547,39,0,0,0,userspace
94,nack,452,39,0,0,0,userspace
95,error:TimeoutError,2001516,39,0,0,0,userspace
96,nack,446,39,0,0,0,userspace
97,error:TimeoutError,2001563,39,0,0,0,userspace
98,nack,1217,39,0,0,0,userspace
99,error:TimeoutError,2002185,39,0,0,0,userspace
100,nack,1275,40,0,0,0,userspace
